CustomerID,Age,Gender,Region,MonthlyIncome,SpendingScore,SubscriptionType,TenureMonths,Churn,PurchaseAmount,TransactionDate
CUST0001,56,Male,North,6443,76,Standard,35,No,3379.85,2024-05-18
CUST0002,69,Male,South,8770,45,Standard,48,Yes,1233.27,2023-08-30
CUST0003,46,Male,West,14917,67,Standard,18,Yes,1293.5,2025-01-19
CUST0004,32,Female,North,11732,86,Basic,16,No,1599.63,2024-01-27
CUST0005,60,Male,West,8099,66,Basic,55,Yes,412.06,2025-08-15
CUST0006,25,Male,South,14135,88,Premium,39,Yes,967.92,2025-07-12
CUST0007,38,Male,North,10555,34,Premium,4,No,125.18,2024-05-10
CUST0008,56,Female,East,4368,91,Standard,59,Yes,2282.51,2023-12-30
CUST0009,36,Female,South,2285,55,Basic,25,Yes,512.85,2024-07-01
CUST0010,40,Male,East,2148,1,Standard,32,No,3445.0,2024-07-31
CUST0011,28,Male,West,6037,72,Premium,40,Yes,1254.55,2025-04-14
CUST0012,28,Male,West,8549,87,Premium,13,No,4723.51,2023-09-27
CUST0013,41,Male,South,9121,38,Standard,45,Yes,4369.13,2023-11-25
CUST0014,53,Female,West,14743,6,Premium,17,No,1518.26,2025-07-10
CUST0015,57,Female,East,11958,86,Standard,49,Yes,3937.76,2025-01-21
CUST0016,41,Female,North,6895,25,Basic,37,Yes,4035.9,2025-02-16
CUST0017,20,Female,North,7280,82,Standard,6,No,4934.16,2025-07-06
CUST0018,39,Male,North,3012,17,Basic,19,No,3029.42,2025-02-03
CUST0019,19,Male,South,13023,61,Basic,13,No,501.63,2025-01-08
CUST0020,41,Male,West,12699,12,Premium,57,No,3269.5,2024-08-15
CUST0021,61,Female,East,11715,6,Premium,26,Yes,3162.4,2024-08-15
CUST0022,47,Male,West,4785,90,Premium,14,Yes,3227.92,2025-04-30
CUST0023,55,Female,West,12748,27,Standard,31,Yes,1605.01,2023-09-28
CUST0024,19,Female,West,5725,8,Standard,54,No,4312.43,2025-07-28
CUST0025,38,Male,North,6576,83,Premium,4,Yes,4801.41,2024-12-09
CUST0026,50,Male,East,7782,65,Standard,39,Yes,1166.79,2024-03-02
CUST0027,29,Male,East,8257,57,Premium,8,No,531.95,2024-08-09
